Sex,Ideology,Birth Year,Count
MALE,Extremely liberal,1932,0
MALE,Extremely liberal,1933,0
MALE,Extremely liberal,1934,0
MALE,Extremely liberal,1935,0
MALE,Extremely liberal,1936,0
MALE,Extremely liberal,1937,0
MALE,Extremely liberal,1938,1
MALE,Extremely liberal,1939,0
MALE,Extremely liberal,1940,1
MALE,Extremely liberal,1941,0
MALE,Extremely liberal,1942,0
MALE,Extremely liberal,1943,7
MALE,Extremely liberal,1944,1
MALE,Extremely liberal,1945,2
MALE,Extremely liberal,1946,1
MALE,Extremely liberal,1947,1
MALE,Extremely liberal,1948,0
MALE,Extremely liberal,1949,1
MALE,Extremely liberal,1950,0
MALE,Extremely liberal,1951,2
MALE,Extremely liberal,1952,2
MALE,Extremely liberal,1953,0
MALE,Extremely liberal,1954,6
MALE,Extremely liberal,1955,1
MALE,Extremely liberal,1956,4
MALE,Extremely liberal,1957,4
MALE,Extremely liberal,1958,4
MALE,Extremely liberal,1959,0
MALE,Extremely liberal,1960,2
MALE,Extremely liberal,1961,3
MALE,Extremely liberal,1962,0
MALE,Extremely liberal,1963,0
MALE,Extremely liberal,1964,4
MALE,Extremely liberal,1965,1
MALE,Extremely liberal,1966,0
MALE,Extremely liberal,1967,2
MALE,Extremely liberal,1968,1
MALE,Extremely liberal,1969,3
MALE,Extremely liberal,1970,2
MALE,Extremely liberal,1971,3
MALE,Extremely liberal,1972,2
MALE,Extremely liberal,1973,3
MALE,Extremely liberal,1974,2
MALE,Extremely liberal,1975,3
MALE,Extremely liberal,1976,3
MALE,Extremely liberal,1977,0
MALE,Extremely liberal,1978,7
MALE,Extremely liberal,1979,2
MALE,Extremely liberal,1980,2
MALE,Extremely liberal,1981,1
MALE,Extremely liberal,1982,5
MALE,Extremely liberal,1983,2
MALE,Extremely liberal,1984,4
MALE,Extremely liberal,1985,3
MALE,Extremely liberal,1986,3
MALE,Extremely liberal,1987,2
MALE,Extremely liberal,1988,4
MALE,Extremely liberal,1989,5
MALE,Extremely liberal,1990,3
MALE,Extremely liberal,1991,4
MALE,Extremely liberal,1992,3
MALE,Extremely liberal,1993,5
MALE,Extremely liberal,1994,4
MALE,Extremely liberal,1995,6
MALE,Extremely liberal,1996,9
MALE,Extremely liberal,1997,8
MALE,Extremely liberal,1998,3
MALE,Extremely liberal,1999,5
MALE,Extremely liberal,2000,6
MALE,Extremely liberal,2001,2
MALE,Extremely liberal,2002,3
MALE,Extremely liberal,2003,0
MALE,Extremely liberal,2004,0
MALE,Extremely liberal,2005,0
MALE,Extremely liberal,2006,0
MALE,Liberal,1932,3
MALE,Liberal,1933,0
MALE,Liberal,1934,1
MALE,Liberal,1935,2
MALE,Liberal,1936,0
MALE,Liberal,1937,2
MALE,Liberal,1938,1
MALE,Liberal,1939,7
MALE,Liberal,1940,1
MALE,Liberal,1941,1
MALE,Liberal,1942,5
MALE,Liberal,1943,2
MALE,Liberal,1944,5
MALE,Liberal,1945,8
MALE,Liberal,1946,4
MALE,Liberal,1947,4
MALE,Liberal,1948,3
MALE,Liberal,1949,6
MALE,Liberal,1950,6
MALE,Liberal,1951,9
MALE,Liberal,1952,10
MALE,Liberal,1953,7
MALE,Liberal,1954,14
MALE,Liberal,1955,12
MALE,Liberal,1956,6
MALE,Liberal,1957,4
MALE,Liberal,1958,11
MALE,Liberal,1959,18
MALE,Liberal,1960,10
MALE,Liberal,1961,11
MALE,Liberal,1962,7
MALE,Liberal,1963,10
MALE,Liberal,1964,5
MALE,Liberal,1965,14
MALE,Liberal,1966,3
MALE,Liberal,1967,9
MALE,Liberal,1968,12
MALE,Liberal,1969,9
MALE,Liberal,1970,14
MALE,Liberal,1971,5
MALE,Liberal,1972,11
MALE,Liberal,1973,13
MALE,Liberal,1974,7
MALE,Liberal,1975,8
MALE,Liberal,1976,9
MALE,Liberal,1977,7
MALE,Liberal,1978,5
MALE,Liberal,1979,15
MALE,Liberal,1980,6
