Candidate,.n:  No answer,.d:  Do not Know/Cannot Choose,No formal schooling,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,12th grade,1 year of college,2 years of college,3 years of college,4 years of college,5 years of college,6 years of college,7 years of college,8 or more years of college,Total
.i:  Inapplicable,180,94,191,48,159,233,305,400,884,786,2434,1985,2782,3911,19004,5427,7340,3047,8036,1915,2287,833,1385,63666
.n:  No answer,4,1,0,1,0,0,0,0,3,0,0,2,1,5,14,0,2,0,4,1,0,0,1,39
.d:  Do not Know/Cannot Choose,2,0,0,0,0,0,1,0,0,0,5,5,3,3,34,1,6,4,10,1,0,0,2,77
.y:  Not available in this year,30,12,19,1,10,17,10,10,63,26,52,113,146,244,1837,596,927,390,1306,273,391,131,248,6852
CARTER,3,1,7,2,9,29,12,29,45,61,140,92,146,136,714,184,218,87,218,57,72,32,43,2337
REAGAN,0,2,1,1,2,5,5,3,16,15,128,59,68,95,813,178,257,121,350,86,77,27,37,2346
ANDERSON,0,0,0,0,0,0,0,0,0,0,4,4,2,7,70,19,41,19,65,29,26,10,13,309
OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,3,2,6,1,1,1,1,24
REFUSED,0,0,0,0,0,0,0,1,0,0,1,1,3,2,10,2,6,4,7,3,0,1,1,42
DIDNT VOTE,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,2,1,0,0,0,0,0,12
Total,219,110,218,53,180,284,333,443,1011,888,2765,2261,3153,4405,22506,6410,8802,3675,10002,2366,2854,1035,1731,75704
