ideology,owngun,FAVOR,OPPOSE,Total,Favor_Pct
Extremely liberal,NO,914,160,1074,85.10
Extremely liberal,YES,274,99,373,73.46
Liberal,NO,3407,443,3850,88.49
Liberal,YES,1107,398,1505,73.55
Slightly liberal,NO,2991,452,3443,86.87
Slightly liberal,YES,1366,509,1875,72.85
"Moderate, middle of the road",NO,8331,1625,9956,83.68
"Moderate, middle of the road",YES,4440,2368,6808,65.22
Slightly conservative,NO,2924,608,3532,82.79
Slightly conservative,YES,1752,1187,2939,59.61
Conservative,NO,2317,754,3071,75.45
Conservative,YES,1763,1536,3299,53.44
Extremely conservative,NO,549,245,794,69.14
Extremely conservative,YES,395,370,765,51.63
