Major,Strong democrat - Extremely liberal,Strong democrat - Liberal,Strong democrat - Slightly liberal,"Strong democrat - Moderate, middle of the road",Strong democrat - Slightly conservative,Strong democrat - Conservative,Strong democrat - Extremely conservative,Not very strong democrat - Extremely liberal,Not very strong democrat - Liberal,Not very strong democrat - Slightly liberal,"Not very strong democrat - Moderate, middle of the road",Not very strong democrat - Slightly conservative,Not very strong democrat - Conservative,Not very strong democrat - Extremely conservative,"Independent, close to democrat - Extremely liberal","Independent, close to democrat - Liberal","Independent, close to democrat - Slightly liberal","Independent, close to democrat - Moderate, middle of the road","Independent, close to democrat - Slightly conservative","Independent, close to democrat - Conservative","Independent, close to democrat - Extremely conservative","Independent (neither, no response) - Extremely liberal","Independent (neither, no response) - Liberal","Independent (neither, no response) - Slightly liberal","Independent (neither, no response) - Moderate, middle of the road","Independent (neither, no response) - Slightly conservative","Independent (neither, no response) - Conservative","Independent (neither, no response) - Extremely conservative","Independent, close to republican - Extremely liberal","Independent, close to republican - Liberal","Independent, close to republican - Slightly liberal","Independent, close to republican - Moderate, middle of the road","Independent, close to republican - Slightly conservative","Independent, close to republican - Conservative","Independent, close to republican - Extremely conservative",Not very strong republican - Extremely liberal,Not very strong republican - Liberal,Not very strong republican - Slightly liberal,"Not very strong republican - Moderate, middle of the road",Not very strong republican - Slightly conservative,Not very strong republican - Conservative,Not very strong republican - Extremely conservative,Strong republican - Extremely liberal,Strong republican - Liberal,Strong republican - Slightly liberal,"Strong republican - Moderate, middle of the road",Strong republican - Slightly conservative,Strong republican - Conservative,Strong republican - Extremely conservative,Other party - Extremely liberal,Other party - Liberal,Other party - Slightly liberal,"Other party - Moderate, middle of the road",Other party - Slightly conservative,Other party - Conservative,Other party - Extremely conservative,Total
ACCOUNTING/BOOKKEEPING,1,3,0,2,0,0,0,0,0,1,6,0,1,0,0,1,2,1,1,0,0,0,0,0,3,1,1,0,0,0,0,4,2,0,0,0,0,0,4,1,5,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,46
ADVERTISING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
AGRICULTURE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
ALLIED HEALTH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ANTHROPOLGY,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
ARCHITECTURE,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ART,1,2,0,0,0,0,0,0,2,1,5,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
BIOLOGY,0,10,2,0,0,0,0,0,3,2,0,0,0,0,1,2,2,3,1,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,42
BUSINESS ADMINISTRATION,2,14,7,8,1,1,0,2,9,9,18,9,0,0,5,8,11,12,1,2,0,0,1,0,23,2,1,0,0,0,0,17,10,5,1,0,0,5,11,16,22,0,0,1,1,2,4,22,7,1,0,2,2,2,1,2,280
CHEMISTRY,1,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
COMMUNICATIONS/SPEECH,3,4,1,1,0,0,0,0,3,5,1,1,0,0,1,2,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,2,4,1,0,0,0,0,0,2,4,0,0,0,0,0,1,3,2,0,1,0,0,1,0,0,51
COMM. DISORDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COMPUTER SCIENCE,2,2,1,0,1,0,0,0,0,2,2,2,1,0,0,2,0,6,1,0,1,1,1,0,14,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,2,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,53
DENTISTRY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
