Category,Year,Party Affiliation,Count
TOO LITTLE,1973,Strong democrat,6
TOO LITTLE,1973,Not very strong democrat,10
TOO LITTLE,1973,"Independent, close to democrat",18
TOO LITTLE,1973,"Independent (neither, no response)",13
TOO LITTLE,1973,"Independent, close to republican",24
TOO LITTLE,1973,Not very strong republican,24
TOO LITTLE,1973,Strong republican,16
TOO LITTLE,1973,Other party,2
TOO LITTLE,1974,Strong democrat,25
TOO LITTLE,1974,Not very strong democrat,16
TOO LITTLE,1974,"Independent, close to democrat",15
TOO LITTLE,1974,"Independent (neither, no response)",16
TOO LITTLE,1974,"Independent, close to republican",6
TOO LITTLE,1974,Not very strong republican,26
TOO LITTLE,1974,Strong republican,7
TOO LITTLE,1974,Other party,1
TOO LITTLE,1975,Strong democrat,14
TOO LITTLE,1975,Not very strong democrat,25
TOO LITTLE,1975,"Independent, close to democrat",22
TOO LITTLE,1975,"Independent (neither, no response)",22
TOO LITTLE,1975,"Independent, close to republican",16
TOO LITTLE,1975,Not very strong republican,16
TOO LITTLE,1975,Strong republican,5
TOO LITTLE,1975,Other party,1
TOO LITTLE,1976,Strong democrat,15
TOO LITTLE,1976,Not very strong democrat,31
TOO LITTLE,1976,"Independent, close to democrat",26
TOO LITTLE,1976,"Independent (neither, no response)",25
TOO LITTLE,1976,"Independent, close to republican",15
TOO LITTLE,1976,Not very strong republican,24
TOO LITTLE,1976,Strong republican,10
TOO LITTLE,1976,Other party,1
TOO LITTLE,1977,Strong democrat,23
TOO LITTLE,1977,Not very strong democrat,36
TOO LITTLE,1977,"Independent, close to democrat",32
TOO LITTLE,1977,"Independent (neither, no response)",17
TOO LITTLE,1977,"Independent, close to republican",14
TOO LITTLE,1977,Not very strong republican,22
TOO LITTLE,1977,Strong republican,9
TOO LITTLE,1977,Other party,1
TOO LITTLE,1978,Strong democrat,12
TOO LITTLE,1978,Not very strong democrat,42
TOO LITTLE,1978,"Independent, close to democrat",45
TOO LITTLE,1978,"Independent (neither, no response)",32
TOO LITTLE,1978,"Independent, close to republican",13
TOO LITTLE,1978,Not very strong republican,24
TOO LITTLE,1978,Strong republican,15
TOO LITTLE,1978,Other party,2
TOO LITTLE,1980,Strong democrat,25
TOO LITTLE,1980,Not very strong democrat,64
TOO LITTLE,1980,"Independent, close to democrat",41
TOO LITTLE,1980,"Independent (neither, no response)",45
TOO LITTLE,1980,"Independent, close to republican",24
TOO LITTLE,1980,Not very strong republican,44
TOO LITTLE,1980,Strong republican,23
TOO LITTLE,1980,Other party,6
TOO LITTLE,1982,Strong democrat,28
TOO LITTLE,1982,Not very strong democrat,58
TOO LITTLE,1982,"Independent, close to democrat",41
TOO LITTLE,1982,"Independent (neither, no response)",32
TOO LITTLE,1982,"Independent, close to republican",33
TOO LITTLE,1982,Not very strong republican,32
TOO LITTLE,1982,Strong republican,30
TOO LITTLE,1982,Other party,3
TOO LITTLE,1983,Strong democrat,22
TOO LITTLE,1983,Not very strong democrat,49
TOO LITTLE,1983,"Independent, close to democrat",36
TOO LITTLE,1983,"Independent (neither, no response)",33
TOO LITTLE,1983,"Independent, close to republican",26
TOO LITTLE,1983,Not very strong republican,36
TOO LITTLE,1983,Strong republican,22
TOO LITTLE,1983,Other party,1
TOO LITTLE,1984,Strong democrat,7
TOO LITTLE,1984,Not very strong democrat,14
TOO LITTLE,1984,"Independent, close to democrat",5
TOO LITTLE,1984,"Independent (neither, no response)",3
TOO LITTLE,1984,"Independent, close to republican",9
TOO LITTLE,1984,Not very strong republican,6
TOO LITTLE,1984,Strong republican,9
TOO LITTLE,1984,Other party,1
TOO LITTLE,1985,Strong democrat,7
TOO LITTLE,1985,Not very strong democrat,14
TOO LITTLE,1985,"Independent, close to democrat",12
